nlc,station,note,entry_weekday,entry_saturday,entry_sunday,exit_weekday,exit_saturday,exit_sunday,annual_entry_exit_million,borough,year,total_weekday,total_weekend
550,Cockfosters                        , ,2652.0,2361.0,1451.0,2553.0,2174.0,1407.0,1.721307,,2011,5205.0,7393.0
551,Colindale                          , ,6986.0,4709.0,3162.0,6146.0,3912.0,2870.0,4.126576,,2011,13132.0,14653.0
552,Colliers Wood                      , ,9036.0,6839.0,4621.0,8251.0,5978.0,4442.0,5.574812,,2011,17287.0,21880.0
553,Covent Garden                      , ,25966.0,29803.0,20354.0,29597.0,41505.0,22253.0,20.279268,,2011,55563.0,113915.0
554,Croxley                            , ,1458.0,554.0,278.0,1428.0,510.0,279.0,0.818349,,2011,2886.0,1621.0
555,Dagenham East                      , ,3802.0,2320.0,1419.0,3423.0,2165.0,1314.0,2.222392,,2011,7225.0,7218.0
556,Dagenham Heathway                  , ,7866.0,4763.0,2825.0,7557.0,4437.0,2777.0,4.710937,,2011,15423.0,14802.0
557,Debden                             , ,3862.0,1569.0,803.0,3527.0,1491.0,766.0,2.121108,,2011,7389.0,4629.0
558,Dollis Hill                        , ,5714.0,3586.0,2502.0,4179.0,2344.0,1993.0,3.076494,,2011,9893.0,10425.0
560,Ealing Broadway                    , ,26500.0,17536.0,11837.0,24718.0,16329.0,11422.0,16.091415,,2011,51218.0,57124.0
561,Ealing Common                      , ,5063.0,3918.0,2619.0,5054.0,3446.0,2566.0,3.248444,,2011,10117.0,12549.0
562,Earl's Court                       , ,30597.0,31164.0,24459.0,28559.0,30599.0,22789.0,20.965776,,2011,59156.0,109011.0
563,East Acton                         , ,5421.0,3679.0,2670.0,5394.0,3329.0,2546.0,3.408355,,2011,10815.0,12224.0
565,East Finchley                      , ,10565.0,6503.0,4096.0,9971.0,5469.0,3929.0,6.291627,,2011,20536.0,19997.0
566,East Ham                           , ,21148.0,15818.0,11099.0,20364.0,14294.0,10885.0,13.365416,,2011,41512.0,52096.0
567,East Putney                        , ,8475.0,5666.0,3135.0,7527.0,4335.0,3008.0,4.930995,,2011,16002.0,16144.0
564,Eastcote                           , ,4243.0,2300.0,1160.0,3953.0,1975.0,1149.0,2.432119,,2011,8196.0,6584.0
568,Edgware                            , ,6914.0,5186.0,3648.0,6653.0,4707.0,3571.0,4.372808,,2011,13567.0,17112.0
